,name,link,class
31,Экономика Калуги,https://vk.com/economic.kaluga?trackcode=f4956af1HoA54Zz6wY3a9PksusiFuMQF0Wo2jYYI7omAeeXyL8U,0
32,ЧЁРНАЯ ЭКОНОМИКА,https://vk.com/chernaya_economika?trackcode=501b02fafoOmApQFdTQD7BSYk9W-J_C661F2HClo4zFpM9M9tg,0
33,Экономика – предприятия/организации заказать,https://vk.com/ogge_ege22021?trackcode=a0a8e34bw2gltKhooxnKnIgrJbWdCPjC7QEetShdM0YdoV2xut8,0
34,"СПбГЭУ, ФЭиФ, Экономика",https://vk.com/fef3051?trackcode=8f9df213oBz7NhRJvEQvm244uy4b-b-UXERT-D4L02BdSZHAIgc,0
35,"Исламская экономика, финансы",https://vk.com/muslimeco_finance?trackcode=a8fd7006ZZ9kHnro6PlbHW_G_ZA_5WSkmcsYZzwL18s8oGtTQ0Q,0
36,Мировая экономика и международный бизнес УрФУ,https://vk.com/ieb_programme?trackcode=86c23b69nklzK219fUAYPLrAtUvyUN64WCWxi1Isaex5pG5eM7k,0
37,"Политика, экономика",https://vk.com/public216562458?trackcode=bb83fd4dkr_nj8VI_ogZfFS6lVtvSj1BLo4f6S8sAUADpl097Y0,0
38,"ЗАМТ ""ЭКОНОМИКА И БУХГАЛТЕРСКИЙ УЧЕТ""",https://vk.com/zamtaccountant?trackcode=ec57032dec2xbn6PPyI5au7jO-la39jHDag3ZReMfauRx6fKqQY,0
39,Экономика и Жизнь,https://vk.com/egonline_ru?trackcode=b3863a89UlhnEh8evtbii684rc3qpskQjCup1-cM8wOK3cH5La0,0
40,Деньги и экономика,https://vk.com/success_money?trackcode=e87a4a70pgqMBYhDRmMLOq9mGqQ28frujL9jZ893C6YXxMrPDeI,0
41,Школково | Экономика для олимпиад,https://vk.com/olympecon2023?trackcode=8ea0e7d8H72LKXLQGKHQi5PI55ZPHRR6H9t81W-YJbSKgAfpLwA,0
42,СоВмЕсТнЫе Покупки - **ЭКОНОМИКА** УКРАИНА,https://vk.com/economsclab?trackcode=0c761294gi-Hh5Dg1JsS3ErycM-eZMataFxZNp8InM7up08nOfg,0
43,Цифровая Экономика,https://vk.com/inec_faculty?trackcode=a19834b0NCqYqKDHKNK8MgJI-xrUvn58lBY_g21JFK4Swm73yy0,0
44,ЭКОНОМИКА,https://vk.com/club13703506?trackcode=ad8489b2vlLBsN2ziZLpVtWTZJOuonLgrQOQhNDPgNwFKfmiEUE,0
45,"Кафедра ""Экономика предприятия"" ДонГУ",https://vk.com/public88904241?trackcode=ae16d625hZQDMzmEgIdeGZQmyrPeWBXLlnrimtnjf7FjDOPykQY,0
46,Бизнес/Экономика/Мотивация,https://vk.com/public216163545?trackcode=19daede9HZdq6nJmmsfuol_UwK0mEQuNWMI_G7F8FowSfoVbAXY,0
47,Экономика | контрольные курсовые дипломные,https://vk.com/diplomnie_kursovie_ekonomika?trackcode=7d3d3c047Q4ohMkSnx4Cmn5xu5UibCvKzzwlwOqCuYCzWqyvBDU,0
48,Менеджмент и экономика РУС «ГЦОЛИФК»,https://vk.com/menekorus?trackcode=ffc3e09bsI_2ZkcduyM6iorn5WwWbcUeSuqd4i0pX2ECXf2-vd8,0
49,Экономика КАГМС,https://vk.com/ekonomika46?trackcode=fa1d62fa9VbYAOwamMzFOIQoYwVUesM6k37yMFYOgmdimc_L8Os,0
50,АНО «Цифровая экономика»,https://vk.com/data_economy?trackcode=90cf7a67M7EBFYzG943Ndi0KXWCQQWGxnHxJ-qo07ReNHzgfcjA,0
51,Финансы | Экономика | Банки,https://vk.com/finance.credit?trackcode=57f56ee7e5uTmQ9FNv2bSki1TjlNnVrgxg6hjo7ta-CSdSkwmYg,0
52,Теневая Экономика,https://vk.com/tenevayaoriginal?trackcode=886891c7KhNoJTasVZ6WyHKMneU1Vf_oauZibvZ2-Cmjn-47FRE,0
53,Экономика Ленинградской области,https://vk.com/lenoblinvest?trackcode=c980e239d4M2SoLMc2lI6qGb2qofj9FP2R00rK-_Fs8Yay1LfSE,0
54,Кризистан: Экономика /// Кризис,https://vk.com/krizis_kopilka?trackcode=f1ace2deWV81IGyi_1-NwZT5C8-cRLxOpq2Oo5mqLnv7vmk_SH8,0
55,ПРАКТИЧНАЯ ЭКОНОМИКА,https://vk.com/practiceconomics?trackcode=8bb555c4VtOeL2K38UF9zd1jdlssP6iazOF4IWIeYNg3KVq2sfU,0
56,Экономика в СибГИУ,https://vk.com/club211711741?trackcode=ab16fe28nDwnxCjse1kHn0oMt4UH6vgxTJ4otIRT2PgSZEpzi00,0
57,"Экономика, бизнес и финансы",https://vk.com/public213527824?trackcode=9f43c057RH074mS3eqdkxNzae7Izeey8Vnh54h_hfdxvN3vjHgk,0
58,Экономика. Вологодский округ,https://vk.com/torgovlyvolraion?trackcode=c645655afZR19e0DAuscI9WxpQ0-FDaE-8MegMfgijADJVs-_6w,0
59,Экономика Кочёво,https://vk.com/public213818459?trackcode=211b20b1EvxmdfR3FYPsHe-B2pJ0rIdkCbGMOxSxrtatI4n_BqM,0
60,Экономика РФ,https://vk.com/ecoruss?trackcode=31eb2085TMD9JTbUneqEhK3yhAVKFXkHTyZoo-J7V5IhlcYGu24,0
61,"Экономика, которую мы потеряли",https://vk.com/economist?trackcode=cf7670c7dGzCRvIXEtH7HVhCMLy1DYRrhRv3hZTsbcnnqap8rp0,0
62,"Кафедра ""Экономика"" ТГТУ",https://vk.com/tmbstu.economics?trackcode=4608cb25OxpIsUM074z0VFJ1rz1DN5PdtdzNUqdyZb7_s5c_H9U,0
63,Коммерсантъ Экономика,https://vk.com/kommersant.economics?trackcode=20a62364ngXSSc7Px-Wd7cUaLYVgBee5XgtNwX70CQzasCDoprw,0
64,Economy of Armenia | Экономика Армении,https://vk.com/armeconomy?trackcode=0ccbdc7dwd4c5UCKdwEOaEqJrNhbn76EVaNavkoAC85tf2xjRNg,0
65,Простая экономика,https://vk.com/economicasimple?trackcode=dbe3f29eV4ma__oZRBFZvkAcg-HNLHvWIf-xq2qO12cEyoG8hPs,0
66,Простая экономика,https://vk.com/prostoecon?trackcode=e715743bQ2Dneq85V0XeQ5ZFoVRShuTcqNl9goDL3OvvPRbkdAs,0
67,Экономика сегодня,https://vk.com/rueconomics?trackcode=9047a238mZIkabs2hnjnoHEmvlmhtSFSxOyXLpFuExdpITzUnQQ,0
68,Экономика Москвы,https://vk.com/economycomplex?trackcode=8fe43018AcbOYcCYumCqlasW4uBqEI3FGsbNPdZxQef7exkFJPo,0
69,Политика и Экономика,https://vk.com/policyandstrategy?trackcode=42fd6715rnChCy2ITA94KT6K-S6TLkRnQVRx4n49FFPzDRV-7jY,0
70,Плановая экономика,https://vk.com/planned_economy?trackcode=bcc68cc3IdVsSXPXmv5lBFJLexGoFovqUxdzOl0lmexjzRarP8k,0
71,Экономика Калуги,https://vk.com/economic.kaluga?trackcode=f4956af1HoA54Zz6wY3a9PksusiFuMQF0Wo2jYYI7omAeeXyL8U,0
72,ЧЁРНАЯ ЭКОНОМИКА,https://vk.com/chernaya_economika?trackcode=501b02fafoOmApQFdTQD7BSYk9W-J_C661F2HClo4zFpM9M9tg,0
73,Экономика – предприятия/организации заказать,https://vk.com/ogge_ege22021?trackcode=a0a8e34bw2gltKhooxnKnIgrJbWdCPjC7QEetShdM0YdoV2xut8,0
74,"СПбГЭУ, ФЭиФ, Экономика",https://vk.com/fef3051?trackcode=8f9df213oBz7NhRJvEQvm244uy4b-b-UXERT-D4L02BdSZHAIgc,0
75,"Исламская экономика, финансы",https://vk.com/muslimeco_finance?trackcode=a8fd7006ZZ9kHnro6PlbHW_G_ZA_5WSkmcsYZzwL18s8oGtTQ0Q,0
76,Мировая экономика и международный бизнес УрФУ,https://vk.com/ieb_programme?trackcode=86c23b69nklzK219fUAYPLrAtUvyUN64WCWxi1Isaex5pG5eM7k,0
77,"Политика, экономика",https://vk.com/public216562458?trackcode=bb83fd4dkr_nj8VI_ogZfFS6lVtvSj1BLo4f6S8sAUADpl097Y0,0
78,"ЗАМТ ""ЭКОНОМИКА И БУХГАЛТЕРСКИЙ УЧЕТ""",https://vk.com/zamtaccountant?trackcode=ec57032dec2xbn6PPyI5au7jO-la39jHDag3ZReMfauRx6fKqQY,0
79,Экономика и Жизнь,https://vk.com/egonline_ru?trackcode=b3863a89UlhnEh8evtbii684rc3qpskQjCup1-cM8wOK3cH5La0,0
80,Деньги и экономика,https://vk.com/success_money?trackcode=e87a4a70pgqMBYhDRmMLOq9mGqQ28frujL9jZ893C6YXxMrPDeI,0
81,Школково | Экономика для олимпиад,https://vk.com/olympecon2023?trackcode=8ea0e7d8H72LKXLQGKHQi5PI55ZPHRR6H9t81W-YJbSKgAfpLwA,0
82,СоВмЕсТнЫе Покупки - **ЭКОНОМИКА** УКРАИНА,https://vk.com/economsclab?trackcode=0c761294gi-Hh5Dg1JsS3ErycM-eZMataFxZNp8InM7up08nOfg,0
83,Цифровая Экономика,https://vk.com/inec_faculty?trackcode=a19834b0NCqYqKDHKNK8MgJI-xrUvn58lBY_g21JFK4Swm73yy0,0
84,ЭКОНОМИКА,https://vk.com/club13703506?trackcode=ad8489b2vlLBsN2ziZLpVtWTZJOuonLgrQOQhNDPgNwFKfmiEUE,0
85,"Кафедра ""Экономика предприятия"" ДонГУ",https://vk.com/public88904241?trackcode=ae16d625hZQDMzmEgIdeGZQmyrPeWBXLlnrimtnjf7FjDOPykQY,0
86,Бизнес/Экономика/Мотивация,https://vk.com/public216163545?trackcode=19daede9HZdq6nJmmsfuol_UwK0mEQuNWMI_G7F8FowSfoVbAXY,0
87,Экономика | контрольные курсовые дипломные,https://vk.com/diplomnie_kursovie_ekonomika?trackcode=7d3d3c047Q4ohMkSnx4Cmn5xu5UibCvKzzwlwOqCuYCzWqyvBDU,0
88,Менеджмент и экономика РУС «ГЦОЛИФК»,https://vk.com/menekorus?trackcode=ffc3e09bsI_2ZkcduyM6iorn5WwWbcUeSuqd4i0pX2ECXf2-vd8,0
89,Экономика КАГМС,https://vk.com/ekonomika46?trackcode=fa1d62fa9VbYAOwamMzFOIQoYwVUesM6k37yMFYOgmdimc_L8Os,0
90,АНО «Цифровая экономика»,https://vk.com/data_economy?trackcode=90cf7a67M7EBFYzG943Ndi0KXWCQQWGxnHxJ-qo07ReNHzgfcjA,0
91,Финансы | Экономика | Банки,https://vk.com/finance.credit?trackcode=57f56ee7e5uTmQ9FNv2bSki1TjlNnVrgxg6hjo7ta-CSdSkwmYg,0
92,Теневая Экономика,https://vk.com/tenevayaoriginal?trackcode=886891c7KhNoJTasVZ6WyHKMneU1Vf_oauZibvZ2-Cmjn-47FRE,0
93,Экономика Ленинградской области,https://vk.com/lenoblinvest?trackcode=c980e239d4M2SoLMc2lI6qGb2qofj9FP2R00rK-_Fs8Yay1LfSE,0
94,Кризистан: Экономика /// Кризис,https://vk.com/krizis_kopilka?trackcode=f1ace2deWV81IGyi_1-NwZT5C8-cRLxOpq2Oo5mqLnv7vmk_SH8,0
95,ПРАКТИЧНАЯ ЭКОНОМИКА,https://vk.com/practiceconomics?trackcode=8bb555c4VtOeL2K38UF9zd1jdlssP6iazOF4IWIeYNg3KVq2sfU,0
96,Экономика в СибГИУ,https://vk.com/club211711741?trackcode=ab16fe28nDwnxCjse1kHn0oMt4UH6vgxTJ4otIRT2PgSZEpzi00,0
97,"Экономика, бизнес и финансы",https://vk.com/public213527824?trackcode=9f43c057RH074mS3eqdkxNzae7Izeey8Vnh54h_hfdxvN3vjHgk,0
98,Экономика. Вологодский округ,https://vk.com/torgovlyvolraion?trackcode=c645655afZR19e0DAuscI9WxpQ0-FDaE-8MegMfgijADJVs-_6w,0
99,Экономика Кочёво,https://vk.com/public213818459?trackcode=211b20b1EvxmdfR3FYPsHe-B2pJ0rIdkCbGMOxSxrtatI4n_BqM,0
100,Экономика Тульской области,https://vk.com/economy71?trackcode=0a0d00e5emV1j6mthHJXkS9lmVHFlgHB9ZVFPhVU4yt2j30p3-Q,0
101,ЭКОНОМИКА ЕТОТС,https://vk.com/public219607710?trackcode=a6ffb8f4c8KKoFYdsmsa-0PmVeUjcJKrRvpaKwJLNHjFQi-Prd4,0
102,Кафедра Экономики#КФ ОГУ#Экономика,https://vk.com/kfosu_economica?trackcode=47c4c900HlgIjYcRJdaLLJp_dErBai47AvBPuT3h2_T2A2neHrI,0
103,ГАУГН - ЭКОНОМИКА,https://vk.com/economgaugn?trackcode=99a119e8ljRV_hG5D3gOlsw8JcC9IJmFwpCbbdWs6ZueX2cT4wM,0
104,Бизнес | Экономика | Финансы,https://vk.com/public211010602?trackcode=56330005o9jHb3xbUr8x3gp5eKgk5X54hFR6nJfX7Pq8uxzHnwY,0
105,Экономика Ноябрьска,https://vk.com/ekonomikanbrsk?trackcode=65f46ef3o-eJOiDisA7lzNKS4jWmPMz_Az1KDRaUU0RLF9X4THg,0
106,Бизнес-информатика и экономика - UNITECH,https://vk.com/ekonomics_in_mgotu?trackcode=51c57e36M0Eki0ZyDU5brtZZfivOpi45NBAE-vhZHPmmbabPDi4,0
107,Экономика Воткинска,https://vk.com/club180607472?trackcode=15ca6ddc9JM4Sw_WDlAgwqK_kG6UI0T1hQSfhuxB8YZHSspxyE0,0
108,Региональная экономика и управление,https://vk.com/regmy_sseu?trackcode=ce133643G-Fy2X2LZKdyzA8ZUG-njKZQ68Sy4YFY86qxq_kj_5A,0
109,ЦРР «Локальная экономика»,https://vk.com/crrkrsk?trackcode=776d2bd6Od-FqeIyj5E5FZrnIZHfzX7XcoRLruXYyxSuROg333Y,0
110,Экономика Братска,https://vk.com/econ_bratsk?trackcode=f04349491eWINDezMO_-TprGPIXNh6Tm3MmsXNmcjDyLH7y7rqU,0
111,Экономика ОмГТУ,https://vk.com/omgtu_econom?trackcode=08889737SzFUCRKi6X9lgNIka5ibVC6UsSDzusFaFsLnak-H1kQ,0
112,Армия Ирана | КСИР | Политика | Экономика,https://vk.com/iranian_army?trackcode=b9c09337zvuHnde_olKpUeJgxeK5dgx4Hm5bVG9dqGtHFHU_MVY,0
113,"Политика, Экономика и бизнес",https://vk.com/politics_economix_business?trackcode=7ae0dc5cjW32NWSNq9uy4hxyUXXJdURV4uelq_e85p2aBIAU9I4,0
114,"Новости экономики - экономика в Беларуси, ситуац",https://vk.com/beltaby?trackcode=87f5783aNwvhaUEyjflKaKoIhQr0rNxqebBew0tEavt0zFiXUQw,0
115,Управление Экономика Бизнес,https://vk.com/public212423216?trackcode=7329a5f80mt9OtoAdikgVnveiZr5KEtKRa0doQe2e-BGUFsaTas,0
116,Экономика изобилия,https://vk.com/economax?trackcode=80f2aa10uKna4vquyPKYuRQK37gIkN1-aRgnOrN_1o4ipuYvuu8,0
117,"Профиль ""Экономика города"" РУДН",https://vk.com/econgorod?trackcode=602f67beUdG1B9ADO6DPeSj-woduqSBiMcl06XECoflyW5KYKjk,0
118,Экономика,https://vk.com/club159429001?trackcode=005332e6Pi2WMXn_Bm0yy8eAQIPzlCnXKrA5qZzOtpQaC3XEpNE,0
119,Экономика Торговли/Транспорта/Туризма/Энергетики,https://vk.com/club218088050?trackcode=d753f562sR5Wqw4PhewF-0GEs6AWpjiMUhoFHusJO78RMV8hAKE,0
120,Экономика РФ,https://vk.com/ecoruss?trackcode=31eb2085TMD9JTbUneqEhK3yhAVKFXkHTyZoo-J7V5IhlcYGu24,0
121,"Экономика, которую мы потеряли",https://vk.com/economist?trackcode=cf7670c7dGzCRvIXEtH7HVhCMLy1DYRrhRv3hZTsbcnnqap8rp0,0
122,"Кафедра ""Экономика"" ТГТУ",https://vk.com/tmbstu.economics?trackcode=4608cb25OxpIsUM074z0VFJ1rz1DN5PdtdzNUqdyZb7_s5c_H9U,0
123,Коммерсантъ Экономика,https://vk.com/kommersant.economics?trackcode=20a62364ngXSSc7Px-Wd7cUaLYVgBee5XgtNwX70CQzasCDoprw,0
124,Economy of Armenia | Экономика Армении,https://vk.com/armeconomy?trackcode=0ccbdc7dwd4c5UCKdwEOaEqJrNhbn76EVaNavkoAC85tf2xjRNg,0
125,Простая экономика,https://vk.com/economicasimple?trackcode=dbe3f29eV4ma__oZRBFZvkAcg-HNLHvWIf-xq2qO12cEyoG8hPs,0
126,Простая экономика,https://vk.com/prostoecon?trackcode=e715743bQ2Dneq85V0XeQ5ZFoVRShuTcqNl9goDL3OvvPRbkdAs,0
127,Экономика сегодня,https://vk.com/rueconomics?trackcode=9047a238mZIkabs2hnjnoHEmvlmhtSFSxOyXLpFuExdpITzUnQQ,0
128,Экономика Москвы,https://vk.com/economycomplex?trackcode=8fe43018AcbOYcCYumCqlasW4uBqEI3FGsbNPdZxQef7exkFJPo,0
129,Политика и Экономика,https://vk.com/policyandstrategy?trackcode=42fd6715rnChCy2ITA94KT6K-S6TLkRnQVRx4n49FFPzDRV-7jY,0
130,Плановая экономика,https://vk.com/planned_economy?trackcode=bcc68cc3IdVsSXPXmv5lBFJLexGoFovqUxdzOl0lmexjzRarP8k,0
131,Экономика Калуги,https://vk.com/economic.kaluga?trackcode=f4956af1HoA54Zz6wY3a9PksusiFuMQF0Wo2jYYI7omAeeXyL8U,0
132,ЧЁРНАЯ ЭКОНОМИКА,https://vk.com/chernaya_economika?trackcode=501b02fafoOmApQFdTQD7BSYk9W-J_C661F2HClo4zFpM9M9tg,0
133,Экономика – предприятия/организации заказать,https://vk.com/ogge_ege22021?trackcode=a0a8e34bw2gltKhooxnKnIgrJbWdCPjC7QEetShdM0YdoV2xut8,0
134,"СПбГЭУ, ФЭиФ, Экономика",https://vk.com/fef3051?trackcode=8f9df213oBz7NhRJvEQvm244uy4b-b-UXERT-D4L02BdSZHAIgc,0
135,"Исламская экономика, финансы",https://vk.com/muslimeco_finance?trackcode=a8fd7006ZZ9kHnro6PlbHW_G_ZA_5WSkmcsYZzwL18s8oGtTQ0Q,0
136,Мировая экономика и международный бизнес УрФУ,https://vk.com/ieb_programme?trackcode=86c23b69nklzK219fUAYPLrAtUvyUN64WCWxi1Isaex5pG5eM7k,0
137,"Политика, экономика",https://vk.com/public216562458?trackcode=bb83fd4dkr_nj8VI_ogZfFS6lVtvSj1BLo4f6S8sAUADpl097Y0,0
138,"ЗАМТ ""ЭКОНОМИКА И БУХГАЛТЕРСКИЙ УЧЕТ""",https://vk.com/zamtaccountant?trackcode=ec57032dec2xbn6PPyI5au7jO-la39jHDag3ZReMfauRx6fKqQY,0
139,Экономика и Жизнь,https://vk.com/egonline_ru?trackcode=b3863a89UlhnEh8evtbii684rc3qpskQjCup1-cM8wOK3cH5La0,0
140,Деньги и экономика,https://vk.com/success_money?trackcode=e87a4a70pgqMBYhDRmMLOq9mGqQ28frujL9jZ893C6YXxMrPDeI,0
141,Школково | Экономика для олимпиад,https://vk.com/olympecon2023?trackcode=8ea0e7d8H72LKXLQGKHQi5PI55ZPHRR6H9t81W-YJbSKgAfpLwA,0
142,СоВмЕсТнЫе Покупки - **ЭКОНОМИКА** УКРАИНА,https://vk.com/economsclab?trackcode=0c761294gi-Hh5Dg1JsS3ErycM-eZMataFxZNp8InM7up08nOfg,0
143,Цифровая Экономика,https://vk.com/inec_faculty?trackcode=a19834b0NCqYqKDHKNK8MgJI-xrUvn58lBY_g21JFK4Swm73yy0,0
144,ЭКОНОМИКА,https://vk.com/club13703506?trackcode=ad8489b2vlLBsN2ziZLpVtWTZJOuonLgrQOQhNDPgNwFKfmiEUE,0
145,"Кафедра ""Экономика предприятия"" ДонГУ",https://vk.com/public88904241?trackcode=ae16d625hZQDMzmEgIdeGZQmyrPeWBXLlnrimtnjf7FjDOPykQY,0
146,Бизнес/Экономика/Мотивация,https://vk.com/public216163545?trackcode=19daede9HZdq6nJmmsfuol_UwK0mEQuNWMI_G7F8FowSfoVbAXY,0
147,Экономика | контрольные курсовые дипломные,https://vk.com/diplomnie_kursovie_ekonomika?trackcode=7d3d3c047Q4ohMkSnx4Cmn5xu5UibCvKzzwlwOqCuYCzWqyvBDU,0
148,Менеджмент и экономика РУС «ГЦОЛИФК»,https://vk.com/menekorus?trackcode=ffc3e09bsI_2ZkcduyM6iorn5WwWbcUeSuqd4i0pX2ECXf2-vd8,0
149,Экономика КАГМС,https://vk.com/ekonomika46?trackcode=fa1d62fa9VbYAOwamMzFOIQoYwVUesM6k37yMFYOgmdimc_L8Os,0
150,АНО «Цифровая экономика»,https://vk.com/data_economy?trackcode=90cf7a67M7EBFYzG943Ndi0KXWCQQWGxnHxJ-qo07ReNHzgfcjA,0
151,Финансы | Экономика | Банки,https://vk.com/finance.credit?trackcode=57f56ee7e5uTmQ9FNv2bSki1TjlNnVrgxg6hjo7ta-CSdSkwmYg,0
152,Теневая Экономика,https://vk.com/tenevayaoriginal?trackcode=886891c7KhNoJTasVZ6WyHKMneU1Vf_oauZibvZ2-Cmjn-47FRE,0
153,Экономика Ленинградской области,https://vk.com/lenoblinvest?trackcode=c980e239d4M2SoLMc2lI6qGb2qofj9FP2R00rK-_Fs8Yay1LfSE,0
154,Кризистан: Экономика /// Кризис,https://vk.com/krizis_kopilka?trackcode=f1ace2deWV81IGyi_1-NwZT5C8-cRLxOpq2Oo5mqLnv7vmk_SH8,0
155,ПРАКТИЧНАЯ ЭКОНОМИКА,https://vk.com/practiceconomics?trackcode=8bb555c4VtOeL2K38UF9zd1jdlssP6iazOF4IWIeYNg3KVq2sfU,0
156,Экономика в СибГИУ,https://vk.com/club211711741?trackcode=ab16fe28nDwnxCjse1kHn0oMt4UH6vgxTJ4otIRT2PgSZEpzi00,0
157,"Экономика, бизнес и финансы",https://vk.com/public213527824?trackcode=9f43c057RH074mS3eqdkxNzae7Izeey8Vnh54h_hfdxvN3vjHgk,0
158,Экономика. Вологодский округ,https://vk.com/torgovlyvolraion?trackcode=c645655afZR19e0DAuscI9WxpQ0-FDaE-8MegMfgijADJVs-_6w,0
159,Экономика Кочёво,https://vk.com/public213818459?trackcode=211b20b1EvxmdfR3FYPsHe-B2pJ0rIdkCbGMOxSxrtatI4n_BqM,0
160,Экономика Тульской области,https://vk.com/economy71?trackcode=0a0d00e5emV1j6mthHJXkS9lmVHFlgHB9ZVFPhVU4yt2j30p3-Q,0
161,ЭКОНОМИКА ЕТОТС,https://vk.com/public219607710?trackcode=a6ffb8f4c8KKoFYdsmsa-0PmVeUjcJKrRvpaKwJLNHjFQi-Prd4,0
162,Кафедра Экономики#КФ ОГУ#Экономика,https://vk.com/kfosu_economica?trackcode=47c4c900HlgIjYcRJdaLLJp_dErBai47AvBPuT3h2_T2A2neHrI,0
163,ГАУГН - ЭКОНОМИКА,https://vk.com/economgaugn?trackcode=99a119e8ljRV_hG5D3gOlsw8JcC9IJmFwpCbbdWs6ZueX2cT4wM,0
